,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0,0.85,0.9,5,202,3,0,0,0,IT,low
1,0.12,0.6,2,194,4,0,0,0,technical,medium
2,0.4,0.47,2,136,3,0,1,0,hr,medium
3,0.47,0.55,4,122,5,1,0,0,marketing,medium
4,0.89,0.65,5,195,6,0,1,0,support,low
5,0.8,0.83,4,183,2,1,0,1,support,low
6,0.61,0.5,4,216,2,0,0,0,technical,low
7,0.57,0.59,4,197,3,0,0,0,sales,low
8,0.58,0.53,4,192,4,0,0,0,IT,medium
9,0.62,0.68,3,226,3,0,0,0,technical,medium
10,0.67,0.66,3,151,3,0,0,0,technical,low
11,0.69,0.52,3,186,3,0,0,0,IT,medium
12,0.55,0.5,4,179,3,0,0,0,technical,low
13,0.79,0.93,4,226,5,0,1,0,sales,low
14,0.42,0.97,6,259,4,0,1,0,management,high
15,0.24,0.85,4,160,5,0,0,0,sales,low
16,0.31,0.59,4,218,5,0,0,0,marketing,medium
17,0.85,0.59,5,236,3,0,0,0,sales,low
18,0.82,0.87,4,239,5,0,1,0,sales,low
19,0.74,0.61,3,228,2,1,0,0,IT,low
20,0.98,0.83,5,211,3,0,0,0,support,medium
21,0.1,0.89,7,291,4,0,1,0,support,medium
22,0.57,0.64,4,151,2,0,0,0,management,medium
23,0.55,0.6,3,180,4,0,1,0,technical,medium
24,0.25,0.8,5,237,6,0,0,0,support,medium
25,0.49,0.66,3,155,3,0,0,1,sales,low
26,0.81,0.84,5,258,5,0,1,0,support,medium
27,0.09,0.82,7,267,4,0,1,0,technical,low
28,0.59,0.81,4,189,3,0,0,0,sales,medium
29,0.8,0.87,5,251,3,0,0,0,sales,medium
30,0.7,0.93,3,250,3,0,0,0,marketing,low
31,0.33,1.0,2,210,3,1,0,0,sales,medium
32,0.82,0.71,4,164,4,0,0,0,support,low
33,0.67,0.69,3,231,3,0,0,1,technical,medium
34,0.48,0.84,4,228,3,0,0,0,technical,medium
35,0.09,0.8,7,283,5,0,1,0,technical,low
36,0.45,0.46,2,128,3,0,1,0,sales,low
37,0.86,0.63,4,244,3,0,0,0,product_mng,low
38,0.74,0.98,3,166,3,1,0,1,management,high
39,0.9,0.68,3,135,3,0,0,0,RandD,low
40,0.91,0.84,5,265,5,0,1,0,technical,medium
41,0.43,0.51,2,141,3,0,1,0,sales,low
42,0.5,0.63,5,167,2,0,0,0,technical,low
43,0.24,0.54,4,226,4,1,0,0,accounting,medium
44,0.5,0.86,3,253,2,0,0,0,RandD,low
45,0.85,0.84,5,272,6,0,1,0,technical,medium
46,0.44,0.56,3,123,3,0,0,0,accounting,medium
47,0.93,0.73,4,153,2,1,0,0,IT,medium
48,0.63,0.91,4,246,3,0,0,0,technical,medium
49,0.41,0.54,2,152,3,0,1,0,technical,low
50,0.76,0.79,3,161,3,0,0,0,technical,low
51,1.0,0.68,3,132,2,0,0,0,sales,medium
52,0.42,0.47,2,137,3,0,1,0,support,medium
53,0.8,0.7,3,238,2,0,0,0,technical,medium
54,0.44,0.5,2,148,3,0,1,0,accounting,medium
55,0.53,0.62,4,201,3,0,0,0,support,medium
56,0.75,0.59,5,149,4,0,0,0,sales,medium
57,0.13,0.72,4,154,4,0,0,0,technical,medium
58,0.53,0.85,5,161,2,0,0,0,technical,medium
59,0.86,0.82,4,274,2,1,0,0,sales,low
60,0.78,0.69,4,202,3,0,0,0,product_mng,low
61,0.62,0.79,3,259,3,0,0,0,support,medium
62,0.78,0.57,5,114,4,0,0,0,sales,low
63,0.53,0.84,3,151,3,0,0,0,product_mng,low
64,0.41,0.52,2,159,3,0,1,0,sales,low
65,0.1,0.93,6,243,4,0,1,0,product_mng,low
66,0.09,0.78,6,260,4,0,1,0,IT,medium
67,0.93,0.84,3,159,3,0,0,0,technical,high
68,0.6,0.49,3,239,2,0,0,0,sales,medium
69,0.58,0.45,3,131,2,0,0,0,technical,low
70,0.16,0.61,6,269,2,0,0,0,accounting,high
71,0.24,0.38,6,109,2,0,0,0,support,medium
72,0.52,0.69,3,144,3,0,0,0,sales,medium
73,0.5,0.83,4,242,2,0,0,0,support,medium
74,0.37,0.47,2,148,3,0,1,0,hr,low
75,0.38,0.56,2,156,3,0,1,0,technical,low
76,0.66,0.8,4,252,3,0,0,0,IT,medium
77,0.92,0.94,2,224,2,0,0,0,sales,low
78,0.09,0.92,6,261,4,0,1,0,IT,medium
79,0.72,0.56,4,176,2,0,0,0,hr,medium
80,0.86,0.96,4,196,3,0,0,0,sales,low
81,0.45,0.55,5,268,2,0,0,0,technical,low
82,0.26,0.67,2,242,6,0,0,0,technical,low
83,0.1,0.96,6,274,4,0,1,0,technical,low
84,0.57,0.88,4,140,2,0,0,0,support,medium
85,0.1,0.84,6,261,4,0,1,0,accounting,medium
86,0.74,0.88,5,183,3,1,0,0,accounting,medium
87,0.45,0.54,2,152,3,0,1,0,sales,low
88,0.96,1.0,3,137,4,1,0,0,marketing,low
89,0.69,0.65,3,153,2,0,0,0,marketing,medium
90,0.48,0.7,3,213,10,0,0,0,sales,medium
91,0.81,0.58,3,243,4,0,0,0,marketing,high
92,0.92,0.84,3,164,2,0,0,0,accounting,medium
93,0.85,0.88,5,236,4,0,0,0,technical,medium
94,0.24,0.7,5,147,6,1,0,0,support,medium
95,0.72,0.95,2,178,4,1,0,0,product_mng,medium
96,0.81,1.0,4,253,5,0,1,0,technical,low
97,0.74,0.54,5,216,3,0,1,0,sales,low
98,0.48,0.45,3,277,2,1,0,0,accounting,high
99,0.8,0.69,3,164,3,0,0,0,support,medium
100,0.67,0.6,4,209,2,0,0,0,technical,low
101,0.28,0.94,6,167,3,1,0,0,RandD,low
102,0.59,0.49,4,164,3,0,0,0,support,low
103,0.22,0.69,4,182,6,0,0,0,technical,low
104,0.63,0.95,4,134,3,0,0,0,support,medium
105,0.68,0.5,3,139,3,0,0,0,technical,medium
106,0.9,0.64,3,163,3,0,0,0,IT,medium
107,0.54,0.52,4,173,2,0,0,0,marketing,medium
108,0.44,0.49,2,154,3,0,1,0,support,low
109,0.8,0.78,4,234,3,0,0,0,sales,medium
110,0.43,0.53,2,152,3,0,1,0,sales,medium
111,0.7,0.74,5,255,2,0,0,0,technical,medium
112,0.81,0.85,4,251,6,0,1,0,hr,medium
113,0.78,0.59,4,124,3,1,0,0,RandD,high
114,0.76,0.59,3,201,6,1,0,0,IT,medium
115,0.84,0.53,4,206,3,0,0,0,technical,medium
116,0.56,0.48,4,197,3,1,0,0,technical,high
117,0.58,0.76,5,260,2,1,0,0,technical,low
118,0.83,0.52,3,167,2,1,0,0,IT,low
119,0.66,0.4,2,155,5,1,0,0,support,medium
120,0.61,0.56,4,176,3,0,0,0,hr,medium
121,0.49,0.67,2,190,8,0,0,0,marketing,medium
122,0.45,0.52,2,145,3,0,1,0,sales,medium
123,0.17,0.84,5,232,3,0,1,0,sales,low
124,0.64,0.64,3,234,3,1,0,0,sales,high
125,0.81,0.88,5,242,5,0,1,0,support,medium
126,0.82,0.99,5,252,3,1,0,0,RandD,low
127,0.91,0.49,3,213,4,0,0,0,technical,medium
128,0.18,0.57,6,238,6,1,0,0,marketing,low
129,0.4,0.51,2,145,3,0,1,0,hr,low
130,0.46,0.64,2,121,3,0,0,0,support,medium
131,0.42,0.53,3,181,5,0,0,0,technical,medium
132,0.1,0.9,7,286,4,0,1,0,sales,low
