Character,Age,Dead (1 = dead),Gender (1=male),Affiliation
Sandor Clegan,29,1,1,4
Benjen Stark,35,1,1,10
Syrio Forel,41,1,1,1
Tysha,29,0,0,4
Jeyne Pool,12,1,0,1
Imry Florent,35,1,1,2
Sorcerer in the Box,60,1,1,0
Jhiqui,17,0,0,3
Stevron Frey,66,1,1,6
Cohollo,36,1,1,11
Bharbo,62,1,1,11
Tomard,47,1,1,1
Craster's Younger Wife,23,0,0,12
Palla,18,0,0,1
Craster's Medium Wife,45,1,0,12
Shella Whent,75,1,0,13
Hallis Mollen,40,0,1,1
Haggo,35,1,1,11
Jacks,35,0,1,1
Masha Heddle,50,1,0,0
Willem Frey,10,0,1,6
Leo Lefford,64,1,1,4
Quent,28,0,1,1
Adrack Humble,39,1,1,14
Aegon Blackfyre,13,1,1,3
Aegon III Targaryen,37,1,1,3
Aegon II Targaryen,24,1,1,3
Aegon IV Targaryen,46,1,1,3
Aegon I Targaryen,64,1,1,3
Aegon Targaryen,19,0,1,3
Aegon V Targaryen,60,1,1,3
Aegor Rivers,33,1,1,3
Aemon Blackfyre,13,1,1,3
Aemon Targaryen,36,1,1,3
Aenys Targaryen,36,1,1,3
Aerion Targaryen,40,1,1,3
Aerys II Targaryen,41,1,1,3
Aerys I Targaryen,48,1,1,3
Cleos Frey,33,1,1,4
Amory Lorch,52,1,1,4
Argalia Baratheon,56,1,0,2
Axell Florent,59,1,1,8
Baelor Targaryen,28,1,1,3
Bannen,23,1,1,10
Barra,1,1,0,2
Billy,10,1,1,1
Biter,33,1,1,4
Ebben,45,1,1,10
Brandon Stark,21,1,1,1
Brynden Rivers,78,1,1,1
Cassana Baratheon,19,1,0,2
Catelyn Stark,35,1,0,1
Catspaw Assassin,37,1,1,2
Craster,65,1,1,12
Cressen,79,1,1,2
Daemon Blackfyre,27,1,1,3
Daemon II Blackfyre,23,1,1,3
Daena Targaryen,39,1,0,3
Daeron II Targaryen,57,1,1,3
Daeron I Targaryen,18,1,1,3
Dagmer,43,1,1,14
Damon Lannister,31,1,1,4
Domeric Bolton,17,1,1,9
Donnel Hill,26,1,1,10
Dontos Hollard,38,1,1,1
Doreah,24,1,0,3
Drennan,25,1,1,14
Drogo,32,1,1,11
Duncan Targaryen,42,1,1,3
Duncan the Tall,67,1,1,3
Eddard Stark,37,1,1,1
Edric Baratheon,0,1,1,2
Elaena Targaryen,75,1,0,3
Elia Martell,27,1,0,5
Gared,59,1,1,10
Gelmarr,21,1,1,14
Gerold Hightower,48,1,1,13
Grazdan mo Ullhor,51,1,1,13
Grenn,19,1,1,10
Gwayne Gaunt,39,1,1,13
Harren Hoare,60,1,1,13
Harrion Karstark,17,1,1,1
High Septon,55,1,1,13
Hoster Tully,60,1,1,6
Hugh,16,1,1,15
Irri,14,1,0,3
Jack Bulwer,17,1,1,10
Jaehaerys I Targaryen,70,1,1,3
Jafer Flowers,28,1,1,10
Jeor Mormont,69,1,1,10
Joanna Lannister,29,1,0,4
Joffrey Baratheon,14,1,1,2
Jojen Reed,14,1,1,1
John Arryn,79,1,1,15
Jon Connington,26,1,1,3
Jory Cassel,37,1,1,1
Joyeuse Erenford,16,1,0,6
Kaeth,82,1,1,3
Clubfoot Karl,37,1,1,10
Kegs,40,1,1,10
Kings Landing Rioter,48,1,1,13
Kraznys mo Nakloz,54,1,1,13
Kurleket,25,1,1,6
Lannister Guardsmen,24,1,1,4
Vargo Hoat,44,1,1,9
Lommy,8,1,1,13
Lorren,47,1,1,14
Luther Tyrell,35,1,1,16
Luwin,67,1,1,13
Lyanna Stark,16,1,0,1
Lysa Arryn,33,1,0,6
Maegor Targaryen,36,1,1,3
Maekar I Targaryen,60,1,1,3
Mago,23,1,1,11
Mandron Moore,43,1,1,15
Maron Greyjoy,14,1,1,14
Martyn Lannister,13,1,1,4
Mathos Seaworth,24,1,1,2
Mero,36,1,1,13
Minisa Tully,31,1,0,6
Mirri Maz Duur,40,1,0,0
Mordane,64,1,0,1
Mully,50,1,1,10
Mycah,13,1,1,1
Myriah Martell,54,1,0,5
Naerys Targaryen,44,1,0,3
Oberyn Martell,42,1,1,5
Old Nan,85,1,0,1
Orell,41,1,1,12
Orys Baratheon,58,1,1,2
Othor,31,1,1,10
Oznak zo Pahl,27,1,1,0
Petyr Baratheon,0,1,1,2
Polliner,30,1,1,4
Prendahl na Ghezn,46,1,1,0
Pyat Pree,55,1,1,13
Pypar,17,1,1,10
Qhorin,60,1,1,10
Qotho,32,1,1,11
Jhogo,16,0,1,3
Ralf Kenning,48,1,1,14
Rast,18,1,1,10
Renly Baratheon,22,1,1,2
Rhaegar Targaryen,24,1,1,3
Rhaegel Targaryen,44,1,1,3
Rhaego,0,1,1,3
